group_name,entity_name,entity_type,inn,is_priority_focus,eis_search_term,roseltorg_customer_query,candidate_count,resolved_inn,eis_entity_code,eis_entity_name,eis_resolved_inn,eis_resolved_kpp,eis_resolved_ogrn,eis_fz94id,eis_fz223id,eis_223_open_count,eis_results_url,roseltorg_lot_count,sberbank_ast_candidate_count,sberbank_ast_lot_count,zakazrf_candidate_count,zakazrf_lot_count,lot_online_lot_count,lot_online_title_mention_count,ogrn
Sber Group,ПАО Сбербанк России,bank,7707083893,0,Сбербанк,СБЕРБАНК РОССИИ,10,7707083893,18950000008,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,18950000008,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=18950000008%3A%D0%9F%D0%A3%D0%91%D0%9B%D0%98%D0%A7%D0%9D%D0%9E%D0%95+%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A0%D0%9E%D0%A1%D0%A1%D0%98%D0%98%22zZ18950000008zZ18950000008zZzZ7707083893zZ-1zZ773601001zZ1027700132195&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,37,56,3,0,0,6,1027700132195
Sber Group,АО Сбербанк-АСТ,etp,7707308480,0,Сбербанк-АСТ,СБЕРБАНК-АСТ,1,7707308480,07730000042,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,770401001,1027707000441,07730000042,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=07730000042%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A-%D0%90%D0%92%D0%A2%D0%9E%D0%9C%D0%90%D0%A2%D0%98%D0%97%D0%98%D0%A0%D0%9E%D0%92%D0%90%D0%9D%D0%9D%D0%90%D0%AF+%D0%A1%D0%98%D0%A1%D0%A2%D0%95%D0%9C%D0%90+%D0%A2%D0%9E%D0%A0%D0%93%D0%9E%D0%92%22zZ07730000042zZ07730000042zZzZ7707308480zZ-1zZ770401001zZ1027707000441&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,25,1,0,0,20,1027707000441
Sber Group,АО Сбербанк Лизинг,leasing,7707009586,0,Сбербанк Лизинг,СБЕРБАНК ЛИЗИНГ,1,7707009586,7707009586_503201001_1027739000728,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",7707009586,503201001,1027739000728,,7707009586_503201001_1027739000728,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7707009586_503201001_1027739000728%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%9B%D0%98%D0%97%D0%98%D0%9D%D0%93%22zZ7707009586_503201001_1027739000728zZzZ7707009586_503201001_1027739000728zZ7707009586zZ-1zZ503201001zZ1027739000728&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,197,0,0,0,20,1027739000728
Sber Group,ООО СК Сбербанк Страхование,insurance,7706810747,0,Сбербанк Страхование,СБЕРБАНК СТРАХОВАНИЕ,2,7744002123,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,1037700051146,,7744002123_773001001_1037700051146,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7744002123_773001001_1037700051146%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%AF+%D0%9A%D0%9E%D0%9C%D0%9F%D0%90%D0%9D%D0%98%D0%AF+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%9D%D0%98%D0%95+%D0%96%D0%98%D0%97%D0%9D%D0%98%22zZ7744002123_773001001_1037700051146zZzZ7744002123_773001001_1037700051146zZ7744002123zZ-1zZ773001001zZ1037700051146&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,0,0,0,0,20,1147746683479
Sber Group,ООО СК Сбербанк Страхование Жизни,insurance,7744002123,0,Сбербанк Страхование Жизни,СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,1,7744002123,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,1037700051146,,7744002123_773001001_1037700051146,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7744002123_773001001_1037700051146%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%AF+%D0%9A%D0%9E%D0%9C%D0%9F%D0%90%D0%9D%D0%98%D0%AF+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%9D%D0%98%D0%95+%D0%96%D0%98%D0%97%D0%9D%D0%98%22zZ7744002123_773001001_1037700051146zZzZ7744002123_773001001_1037700051146zZ7744002123zZ-1zZ773001001zZ1037700051146&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,21,0,0,0,20,1037700051146
Sber Group,ООО Сбербанк Факторинг,factoring,7802754982,0,Сбербанк Факторинг,СБЕРБАНК ФАКТОРИНГ,1,7802754982,7802754982_771401001_1117847260794,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",7802754982,771401001,1117847260794,,7802754982_771401001_1117847260794,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7802754982_771401001_1117847260794%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A4%D0%90%D0%9A%D0%A2%D0%9E%D0%A0%D0%98%D0%9D%D0%93%22zZ7802754982_771401001_1117847260794zZzZ7802754982_771401001_1117847260794zZ7802754982zZ-1zZ771401001zZ1117847260794&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,18,0,0,0,7,1117847260794
Sber Group,ООО Сбербанк Капитал,investment,7736581290,0,Сбербанк Капитал,СБЕРБАНК КАПИТАЛ,1,7736581290,7736581290_773601001_1087746887678,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""",7736581290,773601001,1087746887678,,7736581290_773601001_1087746887678,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7736581290_773601001_1087746887678%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%9A%D0%90%D0%9F%D0%98%D0%A2%D0%90%D0%9B%22zZ7736581290_773601001_1087746887678zZzZ7736581290_773601001_1087746887678zZ7736581290zZ-1zZ773601001zZ1087746887678&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,1,0,0,0,20,1087746887678
Sber Group,ООО Сбербанк Инвестиции,investment,5032229441,0,Сбербанк Инвестиции,СБЕРБАНК ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,
Sber Group,ООО Сбербанк-Телеком (СберМобайл),telecom,7736264044,1,Сбербанк-Телеком,СБЕРБАНК-ТЕЛЕКОМ,0,7736264044,,,,,,,,0,,15,2,251,0,0,0,15,
Sber Group,ООО Страховой брокер Сбербанка,broker,7706810730,0,Страховой брокер Сбербанка,СТРАХОВОЙ БРОКЕР СБЕРБАНКА,1,7706810730,12007001449,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,1147746683468,12007001449,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=12007001449%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%9E%D0%99+%D0%91%D0%A0%D0%9E%D0%9A%D0%95%D0%A0+%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A%D0%90%22zZ12007001449zZ12007001449zZzZ7706810730zZ-1zZ201401001zZ1147746683468&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,29,1,0,0,20,1147746683468
